ID;VERSION;VERSION_TIME;NAME;BRAND;STREET;HOUSE_NUMBER;POST_CODE;PLACE;PUBLIC_HOLIDAY_IDENTIFIER;LAT;LNG
c3fba0e2-9deb-40f1-8c59-ce0b983b1909;1;"2013-07-31 13:28:07.000000";"KAISERSLAUTERN - KANTSTRASSE 64";Agip;Kantstrasse;64;67663;Kaiserslautern;deRP;49.43216;7.7810499
f0a63434-d85b-4a06-a583-11724f884450;1;"2013-07-31 13:28:07.000000";"BIETIGHEIM - BADENSTR. 6";Agip;Badenstr.;6;76467;Bietigheim;deBW;48.9002517;8.2490417
f398cc71-feea-49b8-8857-a6e0160cde31;1;"2013-07-31 13:28:07.000000";"BAD DUERKHEIM - WEINSTRASSE NORD 57";Agip;"Weinstrasse Nord";57;67098;"Bad Duerkheim";deRP;49.4609799;8.16238
f435506c-f7db-4b95-a46a-6468d98d09bc;1;"2013-07-31 13:28:07.000000";"MARNHEIM HAUPTSTRASSE";Agip;"Hauptstr. (B47)";1a;67297;Marnheim;deRP;49.6293599;8.0357199
fc4f43dd-2ee2-48da-9c2e-5f6f734a83b6;1;"2013-07-25 14:23:52.000000";"Aral Tankstelle";ARAL;"Monzinger Straße";102-104;55566;"Bad Sobernheim";\N;49.787674;7.6393319
241d5158-b5d4-4363-befa-18773b73abb5;1;"2013-07-25 14:24:30.000000";"Aral Tankstelle";ARAL;Friedenstraße;2a;76767;Hagenbach;\N;49.02205;8.2515429
d8d6b0c9-bbe3-42e3-a5c6-f56d5831cfa5;1;"2013-07-25 14:24:28.000000";"Aral Tankstelle";ARAL;Rheinstraße;47-49;67574;Osthofen;\N;49.7046431;8.3334749
49151e78-2696-43e7-a882-6f9522c29916;1;"2013-07-25 14:24:28.000000";"Aral Tankstelle";ARAL;"Saarbrücker Straße";56;67742;Lauterecken;\N;49.6500549;7.5842299
67278a88-ffa7-4007-a383-37262cb6bcf2;1;"2013-07-25 14:24:28.000000";"Aral Tankstelle";ARAL;Hauptstraße;77a;67685;Weilerbach;\N;49.4775543;7.6379789
09c3e387-1b81-4c37-8b4b-a8dc01a38ca2;1;"2013-07-25 14:24:29.000000";"Aral Tankstelle";ARAL;Speyerer-Straße;105a;67117;Limburgerhof;\N;49.4219627;8.394073
e707bd23-1806-420a-9909-b14c1e221775;1;"2013-07-25 14:24:29.000000";"Aral Tankstelle";ARAL;"Kirchheimer Straße";51-53;67269;Grünstadt;\N;49.559288;8.170279
dea32847-27c8-4f69-aff8-e56a6b918a12;1;"2013-07-25 14:24:29.000000";"Aral Tankstelle";ARAL;Gaustraße;156;67549;Worms;\N;49.6461563;8.349439
d8ed2fee-5ca2-40de-b333-efb8456dcf7c;1;"2013-07-25 14:24:29.000000";"Aral Tankstelle";ARAL;Branchweilerhofstraße;;67433;Neustadt;\N;49.3507099;8.163982
ba98b98c-52f3-420d-b157-37c7cf89e544;1;"2013-07-25 14:24:31.000000";"Aral Tankstelle";ARAL;Ebertstraße;32;76137;Karlsruhe;\N;48.9951439;8.3895389
6f2391a3-1c74-46b5-bdf0-e00467eca0ab;1;"2013-07-25 14:24:31.000000";"Aral Tankstelle";ARAL;"Landauer Straße";11;76877;Offenbach;\N;49.1943778;8.1875269
