Latitude,Longitude
49.48751730,8.476338380
49.48754000,8.476590000
49.48763000,8.478740000
49.48775000,8.479110000
49.48792000,8.479450000
49.48835000,8.479890000
49.48882000,8.480270000
49.49130000,8.481890000
49.49232000,8.482610000
49.49258000,8.482840000
49.49304000,8.483450000
49.49369000,8.484590000
49.49373000,8.484800000
49.49400000,8.485260000
49.49412000,8.485590000
49.49433000,8.486690000
49.49457000,8.487680000
49.49462000,8.488160000
49.49460000,8.488320000
49.49455000,8.488630000
49.49429000,8.489120000
49.49352000,8.490020000
49.49328000,8.490240000
49.49289000,8.490370000
49.49166000,8.490550000
49.49051000,8.490930000
49.49011000,8.491280000
49.48983000,8.491860000
49.48973000,8.492280000
49.48964000,8.495210000
49.48891000,8.511440000
49.48880000,8.513370000
49.48865000,8.515280000
49.48859000,8.515630000
49.48856000,8.516850000
49.48852000,8.517770000
49.48847910,8.518888950
49.48846510,8.519822350
49.48854880,8.521463870
49.48861150,8.522053950
49.48854000,8.522870000
49.48833000,8.523890000
49.48760000,8.526420000
49.48698000,8.529010000
49.48686000,8.529700000
49.48661120,8.530873060
49.48651000,8.531820000
49.48645000,8.532320000
49.48646000,8.533380000
49.48652000,8.534010000
49.48650000,8.534490000
49.48646000,8.534910000
49.48616000,8.536220000
49.48566330,8.537578580
49.48499000,8.538580000
49.48447000,8.539550000
49.48401000,8.540630000
49.48319000,8.543640000
49.48297000,8.544300000
49.48260000,8.545750000
49.48239000,8.546440000
49.48207000,8.547830000
49.48185070,8.548886770
49.48142550,8.551558250
49.48106300,8.554347750
49.48070750,8.555999990
49.48054720,8.556547160
49.48021960,8.557158700
49.47970000,8.557560000
49.47936000,8.557710000
49.47874000,8.557820000
49.47758000,8.557850000
49.47710000,8.557930000
49.47652000,8.558360000
49.47459000,8.560540000
49.47340000,8.561620000
49.47276000,8.562420000
49.47231000,8.563090000
49.47196000,8.563530000
49.47157000,8.563930000
49.46994380,8.565205330
49.46977990,8.565334080
49.46977300,8.565484280
49.46981830,8.565596930
49.46988100,8.565682760
49.47004140,8.565725680
49.47036560,8.565725680
49.47052940,8.565811510
49.47155780,8.567120430
49.47259000,8.568410000
49.47270000,8.568750000
49.47279000,8.569400000
49.47288000,8.569690000
49.47307000,8.570010000
49.47563000,8.573460000
49.47636000,8.574140000
49.47708000,8.575070000
49.47760000,8.575930000
49.47794000,8.576730000
49.47840000,8.578140000
49.47848000,8.578480000
49.47878000,8.580380000
49.47883000,8.582560000
49.47891000,8.582780000
49.47919000,8.583120000
49.47956000,8.583590000
49.47962000,8.583910000
49.47956000,8.584310000
49.47935000,8.584640000
49.47888000,8.585040000
49.47835140,8.585654490
49.47666440,8.589237920
49.47608580,8.590632670
49.47581390,8.591372960
49.47482400,8.594205370
49.47458350,8.594859830
49.47455560,8.595111960
49.47443360,8.595326540
49.47426980,8.595857620
49.47253000,8.601740000
49.47178000,8.604400000
49.47113000,8.606530000
49.47109000,8.606800000
49.47348000,8.606910000
49.47396000,8.606740000
49.47433000,8.606490000
49.47436000,8.606590000
49.47457000,8.607250000
49.47461000,8.607640000
49.47461000,8.609810000
49.47458000,8.610020000
49.47362000,8.613800000
49.47352000,8.613750000
49.47329000,8.613720000
49.47297000,8.613870000
49.47270000,8.614160000
49.47260000,8.614400000
49.47228000,8.616250000
49.47221000,8.617520000
49.47208000,8.618340000
49.47195000,8.618790000
49.47169000,8.619410000
49.47100000,8.620450000
49.47071000,8.621050000
49.47048000,8.621840000
49.47010000,8.623890000
49.46967000,8.627110000
49.46944000,8.630160000
49.46914000,8.634880000
49.46894000,8.638730000
49.46885000,8.641350000
49.46896000,8.642620000
49.46916000,8.644540000
49.46936000,8.645530000
49.46963000,8.646550000
49.47002000,8.647720000
49.47050000,8.648940000
49.47088000,8.649670000
49.47133000,8.650330000
49.47132000,8.650530000
49.47137000,8.650620000
49.47148000,8.650660000
49.47157000,8.650610000
49.47293000,8.652080000
49.47341000,8.652870000
49.47384000,8.653910000
49.47429000,8.655220000
49.47464000,8.656760000
49.47473000,8.657730000
49.47468000,8.658170000
49.47457000,8.658530000
49.47457000,8.658730000
49.47401000,8.659030000
49.47145000,8.660190000
49.46692000,8.662180000
49.46461000,8.663040000
49.46090000,8.664310000
49.45617000,8.665790000
49.45579000,8.665890000
49.45568000,8.665700000
49.45557000,8.665690000
49.45551000,8.665780000
49.45549000,8.666020000
49.45109000,8.667800000
49.45034000,8.667990000
49.44960000,8.668080000
49.44931000,8.668190000
49.44889000,8.668640000
49.44812000,8.670010000
49.44734000,8.671740000
49.44645000,8.673210000
49.44535000,8.674630000
49.44489000,8.675140000
49.44435000,8.675640000
49.44378000,8.676080000
49.44218000,8.677110000
49.43833000,8.680010000
49.43551000,8.681570000
49.43542000,8.681560000
49.43468000,8.682020000
49.43420000,8.682180000
49.43412000,8.682280000
49.43237000,8.682530000
49.43059000,8.682470000
49.42977000,8.682510000
49.42950000,8.682570000
49.42839000,8.683230000
49.42802000,8.683110000
49.42733000,8.682690000
49.42721000,8.682660000
49.42690000,8.682770000
49.42640000,8.683100000
49.42620000,8.683380000
49.42565000,8.684670000
49.42565000,8.684830000
49.42459000,8.687410000
49.42441000,8.687750000
49.42426000,8.687870000
49.42220000,8.688830000
49.42128000,8.689210000
49.42051000,8.689590000
49.41958000,8.690240000
49.41836000,8.690730000
49.41825000,8.690800000
49.41719000,8.691960000
49.41695000,8.691990000
49.41677000,8.691910000
49.41642000,8.691960000
49.41636000,8.692020000
49.41473000,8.692120000
49.41461000,8.692050000
49.41382000,8.692110000
49.41268000,8.692340000
49.41144000,8.692660000
49.41116000,8.692180000
49.41102000,8.692070000
49.41087000,8.692040000
